# time,Voltage_channel_1,Voltage_channel_2
2.911999999999999902e-05,-8.000249000000000455e-05,5.999817999999999818e-02
2.920000000000000164e-05,6.399975999999999929e-04,7.999818000000000207e-02
2.928000000000000088e-05,-2.800025000000000148e-04,7.999818000000000207e-02
2.936000000000000011e-05,5.999975999999999964e-04,5.999817999999999818e-02
2.943999999999999935e-05,7.599975999999999824e-04,7.999818000000000207e-02
2.952000000000000197e-05,-3.200025000000000113e-04,5.999817999999999818e-02
2.960000000000000120e-05,-2.800025000000000148e-04,7.999818000000000207e-02
2.968000000000000044e-05,5.599975999999999999e-04,5.999817999999999818e-02
2.975999999999999967e-05,4.399974999999999763e-04,5.999817999999999818e-02
2.984000000000000229e-05,-3.600025000000000078e-04,7.999818000000000207e-02
2.992000000000000153e-05,4.799975000000000270e-04,7.999818000000000207e-02
3.000000000000000076e-05,-2.800025000000000148e-04,5.999817999999999818e-02
3.007999999999999999e-05,3.599974999999999833e-04,7.999818000000000207e-02
3.015999999999999923e-05,-3.600025000000000078e-04,5.999817999999999818e-02
3.024000000000000185e-05,3.599974999999999833e-04,7.999818000000000207e-02
3.032000000000000108e-05,-3.600025000000000078e-04,5.999817999999999818e-02
